AssignmentCode,AssignmentName,AssignmentType,AssignmentSubject,AP Course,IB Course,CTE Course,MeetsUC/CSU Requirements,EffectiveStartDate,EffectiveEndDate
1000,Self-Contained Class,T,Self-Contained Class,N,N,N,N,7/1/1990,
2100,Reading improvement/developmental reading,T,English Language Arts,N,N,N,N,7/1/1990,
2101,Comprehensive English,T,English Language Arts,N,N,N,U,7/1/1990,
2102,Basic English/Language Art (Proficiency Devel.),T,English Language Arts,N,N,N,N,7/1/1990,
2105,American literature,T,English Language Arts,N,N,N,U,7/1/1990,
2106,English literature,T,English Language Arts,N,N,N,U,7/1/1990,
2107,Ethnic literature,T,English Language Arts,N,N,N,U,7/1/1990,
2108,World literature,T,English Language Arts,N,N,N,U,7/1/1990,
2109,Other literature,T,English Language Arts,N,N,N,U,7/1/1990,
2110,English Language Development,T,English Language Arts,N,N,N,U,7/1/1990,
2111,Journalism,T,English Language Arts,N,N,N,U,7/1/1990,
2112,Speech,T,English Language Arts,N,N,N,U,7/1/1990,
2113,Composition,T,English Language Arts,N,N,N,U,7/1/1990,
2114,Advanced composition,T,English Language Arts,N,N,N,U,7/1/1990,
2115,Forensics,T,English Language Arts,N,N,N,U,7/1/1990,
2116,Language structure/language arts,T,English Language Arts,N,N,N,U,7/1/1990,
2117,Science fiction,T,English Language Arts,N,N,N,U,7/1/1990,
2118,Expository Reading and Writing,T,English Language Arts,N,N,N,Y,7/1/2011,
2120,Reading (state funded Miller-Unruh spec),T,English Language Arts,N,N,N,N,7/1/1990,
2130,English 9,T,English Language Arts,N,N,N,U,7/1/1990,
2131,English 10,T,English Language Arts,N,N,N,U,7/1/1990,
2132,English 11,T,English Language Arts,N,N,N,U,7/1/1990,
2133,English 12,T,English Language Arts,N,N,N,U,7/1/1990,
2160,IB   Language A1 (English)-literature,T,English Language Arts,N,Y,N,Y,7/1/1990,
2161,MYP Language A,T,English Language Arts,N,Y,N,U,7/1/1990,
2170,AP   English Language,T,English Language Arts,Y,N,N,Y,7/1/1990,
2171,AP   English Literature,T,English Language Arts,Y,N,N,Y,7/1/1990,
2198,Other English course,T,English Language Arts,N,N,N,U,7/1/1990,
2200,German (first and second year),T,Foreign Languages,N,N,N,Y,7/1/1990,
2201,German (advanced),T,Foreign Languages,N,N,N,Y,7/1/1990,
2202,Italian (first and second year),T,Foreign Languages,N,N,N,Y,7/1/1990,
2203,Italian (advanced),T,Foreign Languages,N,N,N,Y,7/1/1990,
2204,French (first and second year),T,Foreign Languages,N,N,N,Y,7/1/1990,
2205,French (advanced),T,Foreign Languages,N,N,N,Y,7/1/1990,
2206,Spanish (first and second year),T,Foreign Languages,N,N,N,Y,7/1/1990,
2207,Spanish (advanced),T,Foreign Languages,N,N,N,Y,7/1/1990,
2208,Russian (first and second year),T,Foreign Languages,N,N,N,Y,7/1/1990,
2209,Russian (advanced),T,Foreign Languages,N,N,N,Y,7/1/1990,
2210,Latin (first and second year),T,Foreign Languages,N,N,N,Y,7/1/1990,
2211,Latin (advanced),T,Foreign Languages,N,N,N,Y,7/1/1990,
2212,Korean (first and second year),T,Foreign Languages,N,N,N,Y,7/1/1990,
2213,Korean (advanced),T,Foreign Languages,N,N,N,Y,7/1/1990,
2214,Chinese (first and second year),T,Foreign Languages,N,N,N,Y,7/1/1990,
2215,Chinese (advanced),T,Foreign Languages,N,N,N,Y,7/1/1990,
2216,Japanese (first and second year),T,Foreign Languages,N,N,N,Y,7/1/1990,
2217,Japanese (advanced),T,Foreign Languages,N,N,N,Y,7/1/1990,
2218,Portuguese (first and second year),T,Foreign Languages,N,N,N,Y,7/1/1990,
2219,Portuguese (advanced),T,Foreign Languages,N,N,N,Y,7/1/1990,
2220,Vietnamese (first and second year),T,Foreign Languages,N,N,N,Y,7/1/1990,
2221,Vietnamese (advanced),T,Foreign Languages,N,N,N,Y,7/1/1990,
2223,Chinese for native speakers,T,Foreign Languages,N,N,N,Y,7/1/1990,
2224,Korean for native speakers,T,Foreign Languages,N,N,N,Y,7/1/1990,
2225,Spanish for native speakers,T,Foreign Languages,N,N,N,Y,7/1/1990,
